programming language,tiobe index ratings,job amount,average salary,linkedin skill,github user count,wiki view Oct 2024,search count Oct 2024,stack_overflow_count_2024,location_count,tiobe index ratings_T,job amount_T,average salary_T,linkedin skill_T,wiki view Oct 2024_T,github user count_T,search count Oct 2024_T,stack_overflow_count_2024_T,location_count_T,kmeans_2,agg_cluster,dbscan_cluster,gmm_cluster2,som_cluster,optics_cluster,birch_cluster
SR,0.0,6,6667699.874120644,0,-1,-1.0,0,0,3,-0.2329050265749095,-0.352274182496641,-0.1772156326144554,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.0624270426896085,1,1,0,0,20,4,0
Crystal,0.05,11,5114617.806365192,0,9,-1.0,0,12,2,-0.2099010872755477,-0.3188715048108411,-0.3501701096881751,-0.290616684561359,-0.29391470507639,-0.191087466097471,-0.4177967075433803,-0.2121128463214676,-0.3934795418011692,1,1,0,1,19,-1,0
PowerHouse,0.0,11,6412519.519480521,0,-1,-1.0,0,0,3,-0.2329050265749095,-0.3188715048108411,-0.2056330522167904,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.0624270426896085,1,1,0,0,20,4,0
Conceptual,0.0,22,6264479.335630361,0,-1,-1.0,0,0,4,-0.2329050265749095,-0.2453856139020815,-0.2221191176445534,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.268625456421952,1,1,0,0,21,2,0
Factor,0.0,10,7026807.65904218,0,0,-1.0,0,0,2,-0.2329050265749095,-0.3255520403480011,-0.1372246363601701,-0.290616684561359,-0.29391470507639,-0.1980545191810285,-0.4177967075433803,-0.3563138748987036,-0.3934795418011692,1,1,0,0,26,6,0
False,0.0,2,5447083.333333334,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3789963246452808,-0.3131460511689006,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,30,16,0
RPL,0.0,4,7686666.666666667,0,-1,-1.0,0,0,2,-0.2329050265749095,-0.3656352535709609,-0.0637413530388878,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.3934795418011692,1,1,0,0,26,7,0
SQLite,0.0,12,5033166.800400964,3600,-1,105.0,33,256,3,-0.2329050265749095,-0.3121909692736812,-0.3592406645778022,-0.139622077102981,-0.1158514835744783,-0.1988286361903127,1.5647636754171956,2.7199747347489978,-0.0624270426896085,1,1,0,1,2,-1,0
fe,0.0,7,4044916.808463504,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.345593646959481,-0.4692942568008272,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,24,18,0
Chrome,0.0,3,10337008.121447029,0,-1,-1.0,0,0,2,-0.2329050265749095,-0.3723157891081208,0.2314062311713989,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.3934795418011692,1,1,0,0,26,9,0
Tao,0.0,4,7667711.864406779,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3656352535709609,-0.0658521995813584,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,31,14,0
Flavors,0.0,4,4648998.8566308245,0,-1,-1.0,0,0,2,-0.2329050265749095,-0.3656352535709609,-0.4020224126919094,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.3934795418011692,1,1,0,0,19,8,0
Cyber,0.0,15,4851949.876868513,0,-1,-1.0,0,0,3,-0.2329050265749095,-0.2921493626622012,-0.3794213613337436,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.0624270426896085,1,1,0,0,20,5,0
Bash,0.05,42,6491318.345677298,319,-1,77.0,0,0,5,-0.2099010872755477,-0.1117749031588822,-0.196857849629729,-0.277236884622686,-0.1628870515183795,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.5996779555335127,1,1,0,1,21,-1,0
DEMOS,0.0,7,8340721.645021646,0,-1,-1.0,0,0,2,-0.2329050265749095,-0.345593646959481,0.0090955814074253,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.3934795418011692,1,1,0,0,26,7,0
Q,0.05,4,13753915.681818182,0,-1,-1.0,0,0,1,-0.2099010872755477,-0.3656352535709609,0.6119202249794105,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,33,26,0
PROMETHEUS,0.0,29,4657207.470512622,152,-1,-1.0,0,0,4,-0.2329050265749095,-0.1986218651419617,-0.4011082842302511,-0.2842413566908941,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.268625456421952,1,1,0,0,21,2,0
Gist,0.0,3,4191111.111111112,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3723157891081208,-0.453013752576014,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,24,18,0
PILOT,0.0,6,10826544.252877614,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.352274182496641,0.2859220017015627,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,32,11,0
REDUCE,0.0,28,5395293.120739435,0,-1,-1.0,0,0,6,-0.2329050265749095,-0.2053024006791217,-0.3189135178872949,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,0.9307304546450732,1,1,0,0,22,-1,0
Monkey,0.0,1,9373333.333333334,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3856768601824408,0.1240893851993059,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,32,12,0
Z,0.0,1,9373333.333333334,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3856768601824408,0.1240893851993059,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,32,12,0
abs,0.0,1,9373333.333333334,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3856768601824408,0.1240893851993059,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,32,12,0
FaCT,0.0,5,29778526.01832276,0,-1,-1.0,0,0,2,-0.2329050265749095,-0.3589547180338009,2.39645444799426,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.3934795418011692,1,1,0,0,35,38,0
MACRO,0.0,2,68067052.86363636,0,-1,-1.0,0,0,1,-0.2329050265749095,-0.3789963246452808,6.660345117999095,-0.290616684561359,-0.29391470507639,-0.1988286361903127,-0.4177967075433803,-0.3563138748987036,-0.7245320409127298,1,1,0,0,35,42,0
