languagehaveworkedwith,languagewanttoworkwith,databasehaveworkedwith,databasewanttoworkwith,webframehaveworkedwith,webframewanttoworkwith
Bash/Shell (all shells);C;C#;C++;Go;Groovy;Java;JavaScript;PHP;Python;SQL;TypeScript,Assembly;Rust,BigQuery;Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,,CodeIgniter;Express;Flask;jQuery;Laravel;Node.js;React;Spring Boot;Symfony;Vue.js,Next.js
C++;HTML/CSS;JavaScript;Python;R;SQL;TypeScript,C++;Go;HTML/CSS;JavaScript;Kotlin;Python;Rust;TypeScript,PostgreSQL,DuckDB;Dynamodb;Elasticsearch;MariaDB;MongoDB;PostgreSQL;Supabase,Django;jQuery;Node.js;Vue.js,Django;Express;FastAPI;Node.js;React;Svelte;Vue.js
Bash/Shell (all shells);Clojure;Elixir;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Crystal;Elixir;Rust;SQL;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,FastAPI;Fastify;Node.js;Phoenix,Fastify;Node.js;Phoenix
,,BigQuery,,Spring Boot,
C++;HTML/CSS;Java;JavaScript;Kotlin;Rust;TypeScript,C++;HTML/CSS;JavaScript;TypeScript,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Next.js,Next.js
HTML/CSS;JavaScript;PHP;Ruby,Clojure;Elixir;Haskell;HTML/CSS;JavaScript;Ruby,MySQL;PostgreSQL;Redis,Couch DB;PostgreSQL;Redis,jQuery;Laravel;Ruby on Rails;WordPress,Elm;Phoenix;Ruby on Rails
Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Bash/Shell (all shells);C#;Elixir;Erlang;HTML/CSS;Rust;TypeScript,BigQuery;Cloud Firestore;MongoDB;PostgreSQL;Redis;Supabase,Cloud Firestore;MongoDB;PostgreSQL;Redis;Supabase,Deno;Gatsby;Laravel;NestJS;Next.js;Nuxt.js;React;WordPress,Deno;Gatsby;NestJS;Next.js;Nuxt.js;Phoenix;Qwik;React;Remix;Ruby on Rails;Solid.js;Svelte;Vue.js
C#;Crystal;PowerShell;SQL,C#;Crystal;PowerShell;SQL,Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,ASP.NET;ASP.NET CORE;Blazor,ASP.NET;ASP.NET CORE;Blazor
HTML/CSS;JavaScript;PHP,Java;Kotlin;PHP,MySQL;Oracle;PostgreSQL,MySQL;Oracle;PostgreSQL,CodeIgniter;WordPress,CodeIgniter;React;Vue.js
HTML/CSS;Java;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;Python,MySQL,MongoDB;PostgreSQL,CodeIgniter;Node.js;React,Django;Flask;NestJS;Next.js;Node.js;React;Svelte
