language,arima_mae_tiobe,arima_mse_tiobe,arima_rmse_tiobe,arima_mae_wikipedia,arima_mse_wikipedia,arima_rmse_wikipedia,arima_mae_gtrend,arima_mse_gtrend,arima_rmse_gtrend,arima_mae_stackOverflow,arima_mse_stackOverflow,arima_rmse_stackOverflow,ses_mae_tiobe,ses_mse_tiobe,ses_rmse_tiobe,ses_mae_wikipedia,ses_mse_wikipedia,ses_rmse_wikipedia,ses_mae_gtrend,ses_mse_gtrend,ses_rmse_gtrend,ses_mae_stackOverflow,ses_mse_stackOverflow,ses_rmse_stackOverflow,holt_mae_tiobe,holt_mse_tiobe,holt_rmse_tiobe,holt_mae_wikipedia,holt_mse_wikipedia,holt_rmse_wikipedia,holt_mae_gtrend,holt_mse_gtrend,holt_rmse_gtrend,holt_mae_stackOverflow,holt_mse_stackOverflow,holt_rmse_stackOverflow,prophet_mae_tiobe,prophet_mse_tiobe,prophet_rmse_tiobe,prophet_mae_wikipedia,prophet_mse_wikipedia,prophet_rmse_wikipedia,prophet_mae_gtrend,prophet_mse_gtrend,prophet_rmse_gtrend,prophet_mae_stackOverflow,prophet_mse_stackOverflow,prophet_rmse_stackOverflow
Python,1.4051885091018268,3.86581329025572,1.6727522995635895,3519.904692653091,35013908.90754723,4103.946982575515,9.025606915727924,171.09434822963425,11.188161125370721,66.19207498031197,10149.648749730684,66.19207498031197,1.309113282732444,3.255609829278343,1.5680789872251908,3270.240924519214,31440240.075687807,3914.7377615539067,8.868756898092055,164.72160531925323,10.986260665107611,85.14184374250009,9852.68066383273,85.14184374250009,1.263884743877273,2.81962288886988,1.500319103277277,3875.754775703911,53133233.7679223,4735.50638716663,10.152708052330572,198.4775542997914,12.049534482633153,143.39232778341346,26337.604008272676,143.39232778341346,2.6365354437541297,11.439096089572768,2.988885585553343,5771.586990469669,110358456.91992936,6206.900651179766,18.18755362996574,698.945779512772,20.639671165060697,3552.6184198194233,12807377.769836675,3552.6184198194233
C++,1.1815184458092607,2.6785495772157772,1.4590721094772314,2613.7768390666242,11911868.64379132,3123.140458020952,13.382720932817495,253.50078967016475,15.801334187101997,39.15125927784377,3516.490236731695,39.15125927784377,1.2699787588432627,3.30461977032175,1.53893861149818,2322.3253822794763,9117632.682949413,2808.922040689281,18.71999998003219,576.5599968531352,21.495204167971227,53.17178493058856,3701.139209808321,53.17178493058856,1.4491149888492996,4.499635216878289,1.690897902032938,2275.2251839916744,8864824.035031151,2752.9146964861784,19.800167453841855,679.5597842845365,22.701896547246385,91.7342957916361,10323.899662337219,91.7342957916361,5.99390635672491,100.70292110822464,6.705171038768204,6023.484987767612,75045754.58760296,6905.593804151659,25.38140097764325,1324.0711075749819,29.85032691218092,1746.7130002839162,3224396.9769742675,1746.7130002839162
Java,2.23388,8.8443476,2.547527885978932,1021.3722585169622,1652031.3802475412,1217.9478908043968,5.863698386251714,76.66876769901721,6.5030083359217015,51.055422860623665,3918.9285159472793,51.055422860623665,2.254555042097576,9.03854960093938,2.5664710528990713,1166.1971570465269,2293310.587161104,1388.3886601320555,5.402209824624281,73.0982810510539,5.985043519950761,74.15400930470544,6014.568351882712,74.15400930470544,2.0707090606708762,7.5703271784567905,2.408938883372783,1216.6154737131335,2510095.211637133,1425.1003570497296,5.267929564794608,50.73095917784216,6.004412663743238,183.58038250879366,36619.45017138723,183.58038250879366,4.337902072326982,42.468405453546154,4.960124048575122,2503.7960994839714,12370796.211811844,2868.655406354154,21.07563035581198,880.9922152396927,23.213069297791268,2867.0291451870553,9043797.37600376,2867.0291451870553
C,1.7791799103388404,5.551179720560631,2.1008568156282257,638.7689259579045,999271.2458409934,806.7669755574186,5.415315165444699,52.2850095722343,6.662180025272322,23.649302664576542,938.4416769714823,23.649302664576542,1.8020540515831427,5.687041652396936,2.1212824135788333,482.8955112748561,771333.7999038933,611.3134357444035,5.304534045623415,46.65198456950293,6.549946417792316,23.350933578442298,589.6486497334133,23.350933578442298,1.9566089878807305,5.994935432183331,2.2787206250838414,934.3168865284639,2141074.0736147,1137.142254675152,5.871261656360486,58.60588612523227,7.092647545750568,51.68543335518596,2983.235996616263,51.68543335518596,4.827757345304657,39.866346847527026,5.331852250094989,1198.1457568195012,2886672.024450251,1401.697157445055,12.666507945821092,420.49742548945096,14.371869162745341,1160.1760845388876,1408041.0854390804,1160.1760845388876
C#,0.9461998588874436,1.5154065659621623,1.1182678704354858,74.92682164365388,24084.625475444955,101.44731068659584,7.632348012095326,89.56182862645647,8.693125931126257,41.70340067079332,3084.234132079519,41.70340067079332,0.9936748201308175,1.765520918787964,1.173976466564132,75.83713640955027,24701.471478330735,103.51726406064509,6.860533590202015,75.72569172046205,8.053093765760654,54.940557980034306,3904.7734733832017,54.940557980034306,0.9726670499428802,1.623921378399731,1.1195715689012713,77.12783311934663,24302.334013205797,103.53419220064863,7.191626392683449,84.84737508155031,8.473641422445324,98.20197706948878,11357.426980640044,98.20197706948878,2.4527066673399487,15.02348285191469,2.7665982307254535,123.28261029748589,48073.712449561244,150.21777219257336,35.90566148574578,3015.845638379395,40.330424744696714,1631.225811395663,2918201.690167021,1631.225811395663
JavaScript,0.604133378811181,0.5548220137101166,0.699049254292455,2026.6586682569873,13991301.55497929,2375.444090386146,2.1337078397068456,10.439896769999724,2.6569266320122504,117.54898822661369,31474.749987561507,117.54898822661369,0.5956206153475636,0.5482319715784956,0.6869337514486032,2287.606702528214,17372088.851755608,2635.488503156052,1.9219763455846166,10.211082869770621,2.5027545228094095,158.99812589898656,31313.433917755105,158.99812589898656,0.6121455086083719,0.5855356202686819,0.6998281426623097,2554.135059240361,17388199.27493932,2918.4179250662837,2.282510107646215,12.09810457534537,2.8470919514341313,242.83556360144976,70460.5916260335,242.83556360144976,1.2498082468785598,4.437437991140919,1.4461459607647995,4574.191153609993,46824422.40914993,4925.117384550924,6.343761013808839,76.2270913536102,7.0780629332881775,5206.27196843107,27867834.27437269,5206.27196843107
Visual Basic,0.6517880842251069,1.3499691532185083,0.8104001674145186,1540.0226757150465,4019827.5370208113,1768.6976596700151,6.79130564680636,101.79274646945802,7.616099254512513,34.864280826997415,1256.1631804214626,34.864280826997415,0.46617494154507205,0.8053235515326923,0.6246990019077748,1289.3031466916455,2769340.2316878242,1515.1120549941888,6.4499999993052155,94.56999949137673,7.33922520518414,26.453214832612286,813.0165252340801,26.453214832612286,0.47238136453100915,0.876845037448828,0.6227125576955638,1224.7137519346468,2687405.932556917,1489.7860429991965,6.62032782090439,104.20544168129877,7.5015052946476,36.83132733950456,2226.488755640673,36.83132733950456,0.7360006485918072,1.269827142949379,0.8104806593735908,3962.7153899201176,46866224.01837994,4390.295213537628,45.8322578872523,6576.437253314766,52.90130242886081,248.36245737419532,72304.67976566512,248.36245737419532
Go,0.2984938832332172,0.2994470782944724,0.3707739228208834,30.78147675013497,1910.4884921644552,36.18502400487769,8.869021867626824,198.59687581239828,11.301241531589245,33.41175643648653,2494.911617360046,33.41175643648653,0.3024120858771545,0.30306551598390163,0.378491224299379,30.895970104018584,1919.8647765015899,36.2946694033093,9.019174123760077,203.7680760625673,11.483539022208145,29.400000143051518,1704.9999887347446,29.400000143051518,0.3162270141565541,0.31297306509298634,0.3914298561960286,36.10978612511941,2319.4057154890934,42.672349174338464,12.809658114463256,332.3511325146147,15.181573645053524,58.61723730850923,4717.233171923525,58.61723730850923,0.3036154830369117,0.2842160553041385,0.36562886396138855,149.0073623399083,47806.544461054,164.67341012299877,51.78070785693875,7192.907058425693,58.55361635181688,2200.2530872153984,4871827.74745563,2200.2530872153984
Fortran,0.1929145276917023,0.0785034853672325,0.23281992681870833,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.18969650390336837,0.0768319767568689,0.2299565729471648,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2651115876575532,0.1287598032526875,0.31915253723467124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.921357227018704,1.833128121784691,1.0246574419015282,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Delphi,0.6403745973798904,0.9360633641473255,0.7739711215083437,121.30086479532956,22035.09802800302,142.89190336867347,4.824558165895697e-06,2.3276361496110845e-11,4.824558165895697e-06,19.939103363640676,598.9782500198659,19.939103363640676,0.6425886507201464,0.9384969977845075,0.7777981358354504,139.03843161306543,29827.004058828792,163.635582439404,0.0,0.0,0.0,17.91168271162535,558.5268904324216,17.91168271162535,0.8055989064792856,1.5898512703889371,0.9280118612302198,124.32271717972738,24053.941893887524,145.1173229976293,5.493667651609445e-09,7.797429041705735e-17,5.497591173620225e-09,17.538808883958236,467.6220392552415,17.538808883958236,1.0332922656041685,2.849308401592295,1.1775098543345273,422.24758098857393,372090.01171506976,466.55096720006196,0.0,0.0,0.0,112.01929091281242,19168.196843077283,112.01929091281242
