programming language,job amount,average salary,location
MATLAB,17,5764911.548656295,"['Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']"
Apex,11,7816074.484489086,"['East Java', 'Banten', 'Jakarta']"
Click,54,8351127.926814728,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten']"
Adept,21,7698934.300564067,"['Jakarta', 'East Java', 'Banten', 'West Java']"
.QL,26,4766819.031018988,"['Central Java', 'East Java', 'Jakarta']"
dss,2,8298783.857954545,['Jakarta']
SPARK,82,3916176.649491272,"['Bali', 'East Java', 'Banten', 'Jakarta']"
Pure,3,10880799.885335917,"['East Java', 'Jakarta']"
GAP,23,27730938.96393032,"['West Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']"
Falcon,2,11286666.666666668,['Jakarta']
Alpha,3,8374726.930320151,['Jakarta']
Plot,46,9235123.102766791,"['West Java', 'Lampung', 'East Java', 'Jakarta', 'Central Java', 'South Sulawesi', 'South Sumatra']"
Joy,57,6746368.332314458,"['Bali', 'Yogyakarta', 'East Java', 'Jakarta']"
CONVERT,23,10261980.620536214,"['Bali', 'Yogyakarta', 'West Java', 'Jakarta']"
Frank,1,9373333.333333334,['Bali']
P,38,12245767.634765225,"['East Kalimantan', 'Banten', 'Jakarta']"
lever,1,9373333.333333334,['Jakarta']
JADE,5,7745929.005253856,['Jakarta']
Blue,3,85880514.92929292,"['Bali', 'Banten']"
THINK C,11,5742402.231619129,['Jakarta']
Inform,32,8375049.3760997085,"['East Kalimantan', 'West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']"
NATURAL,68,9016125.28043656,"['Bali', 'West Java', 'Banten', 'Jakarta']"
Reason,11,20211266.15093236,['Jakarta']
ARM,6,4633452.373737373,['Jakarta']
SR,6,6667699.874120644,"['Yogyakarta', 'West Java', 'Jakarta']"
Crystal,11,5114617.806365192,"['Banten', 'Jakarta']"
PowerHouse,11,6412519.519480521,"['East Java', 'West Java', 'Jakarta']"
Conceptual,22,6264479.335630361,"['Bali', 'North Sumatra', 'Banten', 'Jakarta']"
Factor,10,7026807.65904218,"['Central Java', 'Jakarta']"
False,2,5447083.333333334,['Jakarta']
RPL,4,7686666.666666667,"['Yogyakarta', 'Jakarta']"
SQLite,12,5033166.800400964,"['Central Java', 'East Java', 'Jakarta']"
fe,7,4044916.808463504,['Jakarta']
Chrome,3,10337008.121447029,"['West Java', 'Jakarta']"
Tao,4,7667711.864406779,['Jakarta']
Flavors,4,4648998.8566308245,"['Central Java', 'Jakarta']"
Cyber,15,4851949.876868513,"['Central Java', 'West Java', 'Jakarta']"
Bash,42,6491318.345677298,"['East Kalimantan', 'Yogyakarta', 'Jakarta', 'Central Java', 'Banten']"
DEMOS,7,8340721.645021646,"['West Java', 'Jakarta']"
Q,4,13753915.681818182,['Jakarta']
PROMETHEUS,29,4657207.470512622,"['North Sumatra', 'Yogyakarta', 'Central Java', 'Jakarta']"
Gist,3,4191111.111111112,['Jakarta']
PILOT,6,10826544.252877614,['Jakarta']
REDUCE,28,5395293.120739435,"['West Java', 'Bali', 'East Java', 'Jakarta', 'Riau Islands', 'Banten']"
Monkey,1,9373333.333333334,['Jakarta']
Z,1,9373333.333333334,['Bali']
abs,1,9373333.333333334,['Jakarta']
FaCT,5,29778526.01832276,"['Bali', 'Jakarta']"
MACRO,2,68067052.86363636,['Jakarta']
FLUX,4,11001366.058827206,"['Banten', 'Jakarta']"
ECMAScript,3,13176238.465116275,"['Yogyakarta', 'Jakarta']"
Argus,3,10322222.222222224,['Jakarta']
Assembly,6,9375530.66194122,"['Riau Islands', 'Central Java', 'East Java']"
PowerShell,21,5552177.658067975,"['Central Java', 'Jakarta']"
Visual FoxPro,5,4916170.059592846,"['East Java', 'Jakarta']"
FoxPRO,6,4637549.741552597,"['East Java', 'Jakarta']"
Delphi,5,5088090.1441868255,"['East Java', 'Jakarta']"
SCM,2,9190476.19047619,['Jakarta']
Red,14,9600474.90325898,"['Riau Islands', 'Yogyakarta', 'West Java', 'Jakarta']"
MetaL,3,6789724.960127592,['Jakarta']
SaltStack,1,14000000.0,['Jakarta']
bamboo,13,4155178.345026291,['Jakarta']
Mercury,3,12842905.131782943,['Jakarta']
UNITY,12,6091128.553806561,"['Bali', 'East Java', 'Banten', 'Jakarta']"
Arduino,2,3889331.25,['Jakarta']
SAS,15,3107142.7691049664,"['Yogyakarta', 'Central Java', 'Banten', 'Jakarta']"
SPSS,22,2049910.28708134,"['Riau Islands', 'Central Java', 'Banten', 'Jakarta']"
SIGNAL,4,2974287.2807017546,['Central Java']
Spatial,15,3137366.9030568367,['Jakarta']
AL,5,5022470.8556217095,"['Central Java', 'Banten', 'Jakarta']"
jasper,3,11754785.899224805,"['Banten', 'Jakarta']"
PowerBuilder,1,11000000.0,['Jakarta']
SRL,2,11632178.848837208,['Central Java']
Logos,2,6813000.0,['Jakarta']
Virgil,1,11000000.0,['Jakarta']
Dale,1,11000000.0,['Jakarta']
LUCID,1,11000000.0,['Banten']
CUDA,2,15000000.0,['Jakarta']
LINQ,1,12264357.697674418,[]
JOVIAL,2,12264357.697674418,['Jakarta']
APL,3,6019884.435550963,['Jakarta']
