programming language,tiobe index ratings,job amount,average salary,location,linkedin skill,avg wiki views (monthly),github user count,average search count,stack overflow count
april,0.0,3,4708513.986111111,['Jakarta'],0,-1.0,-1,0.0,0
flagship,0.0,11,6203420.772235206,"['Bali', 'East Java', 'West Java', 'Jakarta']",0,-1.0,-1,0.0,0
Swift,0.98,96,6856960.628534172,"['East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",4600,180.59459459459455,271,0.0,609
Small,0.0,72,13011626.419631569,"['West Java', 'Bali', 'Yogyakarta', 'Jakarta', 'Central Java', 'Banten']",0,-1.0,-1,0.0,0
Kotlin,0.97,117,6101024.9262127,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",8300,362.4390243902439,1100,8.455556,1243
Simplicity,0.0,5,10856018.1374031,"['Bali', 'Jakarta']",0,-1.0,-1,0.0,0
Perl,0.56,18,7126649.348725472,"['East Kalimantan', 'Central Java', 'Jakarta']",1200,359.4684684684685,42,1.651786,129
C++,11.6,118,5903931.743223736,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten', 'North Sumatra']",58000,5386.315315315315,2500,50.67857,1477
Scratch,1.41,25,6819342.410831299,"['Jakarta', 'East Java', 'Banten', 'West Java']",1000,2159.153153153153,-1,18.33929,0
R,1.09,148,8115521.460633558,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']",21000,821.0990990990991,301,39.88393,391
F,0.0,14,15115687.341627616,"['Bali', 'Central Java', 'East Java', 'Jakarta']",0,-1.0,-1,0.0,0
Rust,1.45,27,8891196.888704723,"['West Java', 'East Java', 'Jakarta', 'Central Java', 'Banten']",856,154.4022988505747,101,2.373134,768
Groovy,0.05,10,10062850.58605517,['Jakarta'],435,-1.0,44,1.0,93
Scala,0.64,36,6069870.496656338,"['Bali', 'West Java', 'Jakarta']",584,387.82608695652175,16,2.973214,225
Revolution,0.0,61,3054643.915108728,"['South Kalimantan', 'Riau', 'West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'South Sulawesi', 'Central Java', 'Banten', 'North Sumatra', 'South Sumatra']",0,-1.0,-1,0.0,0
MATLAB,1.48,17,5764911.548656295,"['Yogyakarta', 'East Java', 'Jakarta', 'Central Java', 'Banten']",34000,994.981981981982,109,50.57143,203
Apex,0.05,11,7816074.484489086,"['East Java', 'Banten', 'Jakarta']",0,-1.0,-1,0.0,18
Click,0.0,54,8351127.926814728,"['West Java', 'Bali', 'Yogyakarta', 'East Java', 'Jakarta', 'Banten']",0,-1.0,0,0.0,0
Adept,0.0,21,7698934.300564067,"['Jakarta', 'East Java', 'Banten', 'West Java']",0,-1.0,-1,0.0,0
.QL,0.0,26,4766819.031018988,"['Central Java', 'East Java', 'Jakarta']",0,-1.0,-1,0.0,0
dss,0.0,2,8298783.857954545,['Jakarta'],0,-1.0,-1,0.0,0
SPARK,0.05,82,3916176.649491272,"['Bali', 'East Java', 'Banten', 'Jakarta']",0,-1.0,-1,0.0,62
Pure,0.0,3,10880799.885335917,"['East Java', 'Jakarta']",0,-1.0,5,0.0,0
GAP,0.0,23,27730938.96393032,"['West Java', 'Jakarta', 'West Nusa Tenggara', 'Central Java', 'Banten']",0,-1.0,-1,0.0,0
Falcon,0.0,2,11286666.666666668,['Jakarta'],0,-1.0,-1,0.0,0
Alpha,0.0,3,8374726.930320151,['Jakarta'],0,-1.0,-1,0.0,0
Plot,0.0,46,9235123.102766791,"['West Java', 'Lampung', 'East Java', 'Jakarta', 'Central Java', 'South Sulawesi', 'South Sumatra']",0,-1.0,-1,0.0,0
Joy,0.0,57,6746368.332314458,"['Bali', 'Yogyakarta', 'East Java', 'Jakarta']",0,-1.0,-1,0.0,0
