Date,"Statistical Analysis System","SPSS","Haskell","SQLAlchemy","Sage","Lisp (bahasa pemrograman)","Lua (bahasa pemrograman)","Visual Basic for Applications","ActionScript","Elixir (bahasa pemrograman)"
2020-08,129,912,59,7,45,81,272,304,236,130
2020-09,214,1374,76,11,54,91,233,690,473,151
2020-10,267,1488,91,24,49,123,288,580,345,152
2020-11,337,1439,67,25,69,157,219,1038,385,137
2020-12,205,1517,56,28,56,105,229,1022,450,2114
2021-01,230,1445,86,17,46,157,257,584,663,829
2021-02,171,1315,107,13,70,150,231,423,456,152
2021-03,205,1801,74,27,183,96,277,643,598,160
2021-04,186,1276,52,13,129,120,237,429,202,110
2021-05,105,906,51,10,154,55,158,246,108,81
2021-06,125,1610,45,23,351,121,229,598,222,95
2021-07,163,1468,79,22,78,70,272,395,188,1125
2021-08,109,1105,65,31,67,130,317,365,578,1428
2021-09,200,1601,129,21,120,165,350,346,625,350
2021-10,181,1500,123,45,59,186,332,452,429,158
2021-11,217,1451,85,38,60,177,275,638,446,95
2021-12,97,1199,184,49,37,117,253,622,502,66
2022-01,124,1036,158,19,45,79,347,352,632,66
2022-02,47,732,103,15,30,95,284,389,551,82
2022-03,111,1126,75,31,102,101,310,344,849,55
2022-04,114,949,65,61,40,57,266,227,293,53
2022-05,58,926,81,82,33,47,240,227,180,37
2022-06,68,1342,88,68,34,62,201,296,257,46
2022-07,77,896,50,23,57,51,191,264,253,47
2022-08,93,855,52,22,42,71,245,248,639,38
2022-09,168,1129,56,32,63,108,227,469,673,54
2022-10,116,1103,57,27,63,104,252,259,758,61
2022-11,159,1283,81,28,58,152,232,351,664,48
2022-12,91,919,89,42,67,102,192,443,494,40
2023-01,76,811,87,24,64,63,179,282,709,60
2023-02,95,802,71,12,54,86,241,255,490,55
2023-03,184,913,100,33,53,94,247,301,576,47
2023-04,70,447,64,6,36,68,215,243,193,46
2023-05,358,992,52,16,24,104,249,228,314,66
2023-06,119,1057,60,25,38,101,326,271,168,33
2023-07,63,877,221,10,47,99,287,191,148,30
2023-08,69,829,162,13,70,96,284,184,440,45
2023-09,102,747,162,13,34,112,249,429,311,167
2023-10,83,952,101,12,27,139,226,260,315,85
2023-11,125,962,112,14,29,130,249,307,276,81
2023-12,64,925,124,10,39,100,241,248,214,69
2024-01,89,1027,114,23,29,94,242,248,241,66
2024-02,67,852,86,6,29,187,202,136,211,62
2024-03,158,1968,69,9,29,132,248,173,268,142
2024-04,122,1545,56,2,27,96,233,143,112,156
2024-05,169,2657,69,18,33,104,238,179,86,171
2024-06,125,2107,48,5,34,61,217,192,89,129
2024-07,117,1766,68,17,21,63,274,163,61,121
2024-08,80,1042,107,13,51,105,202,135,104,110
2024-09,73,1253,94,10,20,75,198,153,132,71
