Date,"Statistical Analysis System","SPSS","Haskell","SQLAlchemy","Sage","Lisp (bahasa pemrograman)","Lua","Visual Basic for Applications","ActionScript","Elixir (bahasa pemrograman)"
2023-05,358,992,52,16,24,104,22,228,314,66
2023-06,119,1057,60,25,38,101,136,271,168,33
2023-07,63,877,221,10,47,99,123,191,148,30
2023-08,69,829,162,13,70,96,15,184,440,45
2023-09,102,747,162,13,34,112,128,429,311,167
2023-10,83,952,101,12,27,139,24,260,315,85
2023-11,125,962,112,14,29,130,18,307,276,81
2023-12,64,925,124,10,39,100,9,248,214,69
2024-01,89,1027,114,23,29,94,11,248,241,66
2024-02,67,852,86,6,29,187,31,136,211,62
2024-03,158,1968,69,9,29,132,29,173,268,142
2024-04,122,1545,56,2,27,96,94,143,112,156
2024-05,169,2657,69,18,33,104,71,179,86,171
2024-06,125,2107,48,5,34,61,29,192,89,129
2024-07,117,1766,68,17,21,63,57,163,61,121
2024-08,80,1042,107,13,51,105,62,135,104,110
2024-09,73,1253,94,10,20,75,64,153,132,71
2024-10,122,1517,74,13,20,118,42,147,109,86
